Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Klasa
2.87771989711,6.69806744191,10.0144614828,11.1567879716,21.7578018443,14.9000359469,22.3248317359,2
2.98090521313,7.87599829332,9.59644411605,10.2378974679,20.1566184163,14.3430922478,-21.2290322795,2
3.02357367068,7.78848599274,9.94098760602,10.9181064136,-21.3595193199,-14.8789821371,-21.9847862361,2
3.06213545388,6.96798932815,9.91721201117,11.7526940501,-23.8096146188,-15.6686061198,22.5884297923,2
3.03921969317,6.70683426772,9.92433665204,11.6120606821,-22.4006713278,-14.9761318642,22.9038200028,2
3.06393379629,7.65325238828,9.73563174464,11.7316374723,-22.6696338819,-16.4467938856,-22.572674894,2
3.10155278434,7.78820207108,10.7852523162,11.5405578375,-22.9522323663,15.7959563554,22.7865786486,2
3.00381745885,8.46109319566,9.92256041664,10.8134134431,-21.2131857901,-15.4585128715,-21.6143624552,2
3.07977088575,7.25026865692,9.95815066763,12.2674180285,23.5857644741,16.5395232879,23.4868406395,2
3.08731229653,7.16540778651,10.9117942019,11.5474691226,-22.8283706915,-15.4462725872,23.1156774852,2
3.07120677239,7.28299924871,10.1864019861,11.1518613032,21.8397861748,15.030313154,-22.3616982743,2
3.03499688324,7.79055855405,9.86960407629,10.8456192361,21.88318453,14.8542272754,21.2129249371,2
3.01048582856,7.5212904004,9.50347448358,11.2832845871,21.7193079403,16.187928441,22.051086325,2
3.02800105563,7.07248100716,10.1186860251,10.9860023535,22.6930188937,-14.6397894554,-21.5394143109,2
3.13662711685,8.25683153797,11.0984706036,12.2536049643,24.0547807742,16.4120065334,-24.1088977587,3
3.158012794,8.3305018388,11.6817849948,12.0993816977,-25.9800478312,-16.2659932448,23.9899877746,3
3.1572331559,8.77683387959,12.2086841615,12.1460094459,26.2311111222,-16.6027261414,-24.3233894603,3
3.14245774295,8.46985668736,10.7802659884,12.3105560301,-25.0112443174,-16.6841090024,-23.8570318297,3
3.13970116751,8.19654368469,10.9622021916,12.389795841,-24.1386988912,-16.6886419833,-24.3382293558,3
3.13779443289,7.70852855099,10.8239735497,12.5824511173,-24.2987279346,-17.3851207779,-24.9024939742,3
3.15959258233,8.28732731658,11.9325264365,12.251100844,-24.9653879857,-16.4094346573,24.355633824,3
3.15828233502,8.37390799849,14.1235525147,12.3060767878,-25.5737224262,-16.8364455163,-25.8537044272,3
3.15021598658,7.85854710213,11.3298903576,11.854526348,-24.1744506896,-16.2433377088,-23.4544801165,3
3.14700300568,7.75711831814,11.1292361328,11.8398264455,-23.5317762171,-15.7910699618,23.4298270478,3
3.15514416536,8.79865717611,11.8117813787,12.0192823269,-24.7083231285,-16.5222267603,-23.9410655145,3
3.15331285954,8.33187077066,11.9453021583,12.1041937454,-24.4562719755,-16.2806107837,-24.1833075114,3
3.14473999716,7.88578929702,11.7925206423,11.8891562616,-23.7989920056,-15.8807104383,24.0125417826,3
3.12714134025,7.53524258903,10.8714104132,12.4267025957,-24.1691477725,16.6713476153,-24.3040125762,3
3.15372363202,7.82720202999,11.8014166485,12.3452210079,24.851482294,-16.5517409105,24.4503283469,3
3.14389131519,8.78304377459,11.0018285863,12.2279917718,-24.2484828084,-16.6242012715,23.8793369049,3
3.15344462981,8.33877223778,12.0859194605,12.0537606069,25.3434050676,-16.2491650041,24.1243912023,3
3.14272532682,7.76144636766,11.6637124845,11.936442925,-23.8129186773,-16.0025121374,24.0004368835,3
3.14023064898,7.95278217266,10.92141633,11.8324154397,23.4191676831,15.9316739988,-23.3133022617,3
3.14635715898,8.30917823186,11.7572153689,12.0444077347,-24.0535380986,-16.2749202748,-24.1481572102,3
